1;2024-11-23;Android;Web;neg;photo;collision;3-10 ans;tous_risques;2;faible;Île-de-France;App;Très mécontent, les photos restent en attente à la fin du formulaire malgré plusieurs essais, du coup rien n'avance, merci quand même.
2;2024-03-22;iOS;App;neg;complexité;collision;0-1 an;tiers;2;moyenne;Pays de la Loire;Téléphone;Je suis déçu, c'est trop technique pour un sinistre simple et je perds tout, franchement je perds un temps fou, c'est pas sérieux.
3;2024-04-26;iOS;Email;pos;authentification;collision;3-10 ans;jeune_conducteur;4;faible;Auvergne-Rhône-Alpes;App;Très satisfait, ça bloque sur l'authentification quand je valide le code et j'ai pu finaliser sans stress, mais tout est bien expliqué, bravo à l'équipe.
4;2024-04-22;iOS;Web;neu;photo;collision;1-3 ans;tiers;3;faible;Bourgogne-Franche-Comté;Email;Ça pourrait être mieux, l'envoi des clichés échoue sur l'étape des justificatifs, honnêtement j'ai dû m'y reprendre, j'attends une amélioration.
5;2024-10-02;Android;Web;pos;lenteur;collision;10+ ans;tous_risques;4;moyenne;Bretagne;App;Merci, le site rame énormément quand je joins une pièce mais la résolution a été rapide, franchement j'ai eu une réponse rapide, service efficace.
6;2024-01-06;iOS;App;pos;bug;vol;1-3 ans;tiers;4;faible;Bourgogne-Franche-Comté;Email;Merci, ça me déconnecte tout seul sur mon téléphone et j'ai pu finaliser sans stress, donc j'ai eu une réponse rapide, service efficace.
7;2024-09-28;Web;Web;neg;photo;collision;10+ ans;jeune_conducteur;1;faible;Bretagne;Email;Je suis déçu, la caméra ne s'ouvre pas même en 4G et je perds tout, honnêtement rien n'avance, j'espère que ça ira mieux.
8;2024-09-27;Web;App;neg;parcours;bris_de_glace;1-3 ans;tiers;2;faible;Hauts-de-France;App;Je suis déçu, le parcours est confus pour une simple déclaration et je perds tout, bref ça bloque encore, j'ai fini par appeler.
9;2024-01-31;Android;Téléphone;pos;photo;collision;3-10 ans;tiers;4;moyenne;Normandie;Web;Très satisfait, l'ajout des photos bloque au moment de valider au début, puis tout s'est débloqué rapidement, franchement le suivi était clair, service efficace.
10;2024-12-10;iOS;Web;neg;bug;vol;0-1 an;tiers;2;faible;Auvergne-Rhône-Alpes;Web;Je suis déçu, l'application plante après la mise à jour et je perds tout, mais ça bloque encore, merci de corriger vite.
11;2024-03-26;Android;App;pos;authentification;collision;0-1 an;tous_risques;5;faible;PACA;Téléphone;Très satisfait, le lien de connexion expire quand je valide le code au début, puis tout s'est débloqué rapidement.
12;2024-01-30;Android;App;pos;parcours;collision;3-10 ans;jeune_conducteur;4;moyenne;PACA;App;Merci, je ne comprends pas les étapes entre les onglets et j'ai pu finaliser sans stress, du coup le suivi était clair, continuez comme ça.
13;2024-12-08;iOS;App;neg;parcours;collision;1-3 ans;tous_risques;1;faible;Grand Est;Web;Très mécontent, je ne comprends pas les étapes pour une simple déclaration malgré plusieurs essais, du coup rien n'avance, c'est pas sérieux.
14;2024-03-21;Android;App;neg;complexité;vol;3-10 ans;tous_risques;2;forte;Île-de-France;Email;Très mécontent, la procédure est trop longue pour un sinistre simple, mais je perds un temps fou, je vais réessayer plus tard.
15;2024-11-20;Web;App;neg;authentification;collision;3-10 ans;jeune_conducteur;1;faible;Pays de la Loire;Web;Très mécontent, la reconnaissance Face ID échoue même après réinitialisation et je perds tout, honnêtement je perds un temps fou, merci de corriger vite.
16;2024-03-17;iOS;Web;neg;photo;collision;1-3 ans;jeune_conducteur;1;moyenne;Auvergne-Rhône-Alpes;App;Très mécontent, la caméra ne s'ouvre pas pendant la déclaration et je perds tout, franchement rien n'avance, j'ai fini par appeler.
17;2024-07-30;Android;Web;neg;complexité;vol;10+ ans;jeune_conducteur;2;faible;PACA;App;Franchement, trop de champs obligatoires alors que j'ai déjà envoyé malgré plusieurs essais, du coup je perds un temps fou, je vais réessayer plus tard.
18;2024-12-03;Android;App;pos;complexité;collision;3-10 ans;tous_risques;5;forte;Île-de-France;Agence;Merci, les justificatifs demandés sont trop nombreux pour avancer au début, puis tout s'est débloqué rapidement, alors tout est bien expliqué, continuez comme ça, rapide.
19;2024-10-22;Android;App;neg;parcours;vol;3-10 ans;pro;1;faible;Île-de-France;Téléphone;Je suis déçu on tourne en rond dans les écrans entre les onglets et je perds tout bref je perds un temps fou je vais.
20;2024-10-10;Android;App;pos;parcours;catastrophe_naturelle;3-10 ans;tiers;4;faible;Auvergne-Rhône-Alpes;Téléphone;Nickel je n'arrive pas à trouver où suivre mon sinistre sur le récapitulatif mais la résolution a été rapide bref j'ai eu une réponse rapide.
21;2024-12-03;Android;App;neu;photo;vol;3-10 ans;tous_risques;3;faible;Auvergne-Rhône-Alpes;App;Ça pourrait être mieux, l'ajout des photos bloque au moment de valider, mais ça passe mais c'est limite, ça manque de simplicité.
22;2024-07-23;Android;Web;neg;bug;vol;0-1 an;tous_risques;1;moyenne;PACA;Web;Ras-le-bol, le bouton valider ne fait rien au moment de confirmer, mais je perds un temps fou, c'est pas sérieux.
23;2024-09-15;Android;Téléphone;neg;photo;incendie;3-10 ans;tous_risques;2;moyenne;Hauts-de-France;Web;C'est inadmissible, l'envoi des clichés échoue au moment de valider, mais je perds un temps fou, c'est pas sérieux.
24;2024-04-28;Android;App;neg;lenteur;collision;3-10 ans;tiers;2;faible;Pays de la Loire;Email;Ras-le-bol, le chargement est interminable à chaque étape, franchement je perds un temps fou, je vais réessayer plus tard.
25;2024-08-02;iOS;Web;neu;authentification;collision;1-3 ans;tous_risques;3;faible;Grand Est;Téléphone;Globalement ça va, ça bloque sur l'authentification même après réinitialisation, honnêtement j'ai dû m'y reprendre, ça manque de simplicité.
26;2024-01-14;Android;App;pos;photo;collision;1-3 ans;tous_risques;5;moyenne;Nouvelle-Aquitaine;Téléphone;Nickel, je ne peux pas joindre les images pendant la déclaration au début, puis tout s'est débloqué rapidement, mais tout est bien expliqué, service efficace.
27;2024-01-21;iOS;Téléphone;neg;photo;collision;0-1 an;tous_risques;1;faible;Auvergne-Rhône-Alpes;App;Franchement, les photos restent en attente après trois essais malgré plusieurs essais, mais rien n'avance, merci de corriger vite.
28;2024-07-11;Android;Web;neg;parcours;bris_de_glace;0-1 an;tous_risques;1;moyenne;Hauts-de-France;App;Je suis déçu je n'arrive pas à trouver où suivre mon sinistre quand il faut choisir le garage et je perds tout bref ça bloque.
29;2024-08-09;Web;Web;neu;parcours;collision;3-10 ans;pro;3;faible;Pays de la Loire;Web;Pas terrible mais bon les infos demandées se répètent quand il faut choisir le garage franchement ça passe mais c'est limite le support via web.
30;2024-05-04;iOS;Web;neu;photo;collision;1-3 ans;tous_risques;3;faible;Auvergne-Rhône-Alpes;App;C'est mitigé, les photos restent en attente même en 4G, alors j'ai dû m'y reprendre, le support via app a aidé.
31;2024-05-03;iOS;Web;neg;bug;collision;1-3 ans;tous_risques;2;moyenne;Nouvelle-Aquitaine;Web;C'est inadmissible ça me déconnecte tout seul après la mise à jour et je perds tout bref je perds un temps fou je vais réessayer.
32;2024-06-10;Android;App;neu;photo;collision;3-10 ans;tous_risques;3;forte;Hauts-de-France;App;Globalement ça va, la caméra ne s'ouvre pas sur l'étape des justificatifs, alors ça passe mais c'est limite, le support via app a aidé.
33;2024-01-24;Web;Web;neu;photo;incendie;3-10 ans;jeune_conducteur;3;moyenne;Occitanie;Web;Ça pourrait être mieux, l'ajout des photos bloque à la fin du formulaire, alors j'ai réussi au final, le support via web a aidé.
34;2024-01-28;Android;Web;pos;photo;collision;3-10 ans;tous_risques;4;moyenne;Nouvelle-Aquitaine;Email;Bonne expérience, l'envoi des clichés échoue après trois essais et j'ai pu finaliser sans stress, franchement tout est bien expliqué, bravo à l'équipe.
35;2024-04-18;Android;App;neg;parcours;collision;1-3 ans;tous_risques;2;faible;Auvergne-Rhône-Alpes;Téléphone;Franchement, les boutons ne sont pas clairs quand il faut choisir le garage malgré plusieurs essais, mais ça bloque encore, j'ai fini par appeler.
